name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Indegree,Outdegree,NeighborhoodConnectivity
2654,6.174569425,0.157207885,0,5,10,32.73333333
2826,0,0,0,5,0,21.4
3348,0,0,0,11,0,13.27272727
3349,0,0,0,7,0,13.28571429
3350,1.304018833,0.154363263,0.007575758,2,10,11.91666667
295,0,0,0,6,0,12.83333333
1676,24.73160164,0.142488771,4.10E-04,76,10,13.98837209
2243,0,0,0,5,0,13.8
2400,0,0,0.023809524,7,0,13.14285714
2546,4.668260695,0.150178847,0,10,10,13.3
3343,5.237574693,0.146477862,0,6,10,11.5625
3344,0,0,0,1,0,17
3345,3.006488316,0.146120513,0,3,2,16.4
3346,0,0,0,2,0,15
3347,0,0,0,2,0,14
361,0,0,0.023809524,7,0,22.42857143
1305,13.97236772,0.149158859,0,6,10,15.375
1755,0,0,0.033333333,6,0,23.83333333
1902,0,0,0,11,0,17.45454545
2672,0,0,0,7,0,22.14285714
3548,36.71606854,0.162360434,0.005847953,9,10,17.36842105
4043,0,0,0,3,0,33.33333333
4413,0,0,0,2,0,44.5
5642,1.01543828,0.119576143,0,5,1,24.33333333
5643,12.20616769,0.149374771,0,3,10,14.38461538
32,4.591893218,0.15230999,0.002923977,9,10,12.05263158
33,0.978893465,0.132472353,0,3,10,8.846153846
34,2.98995898,0.139234333,0,7,9,11.75
35,0,0,0,4,0,14.25
36,12.88727571,0.1602912,0.001149425,20,10,15.43333333
37,4.67512528,0.161845014,0.007894737,10,10,30.8
38,5.192133375,0.143205872,0.002164502,12,10,15.68181818
39,0,0,0,3,0,14.33333333
40,0,0,0,4,0,15.25
41,0,0,0,1,0,19
42,0,0,0,1,0,19
84,0,0,0,3,0,14
133,0,0,0,7,0,11.57142857
283,0,0,0,12,0,14.5
1800,0,0,0,3,0,10.66666667
2031,0,0,0,6,0,19.33333333
2430,2.711327983,0.133625599,0,7,9,13.625
3278,0,0,0,5,0,13
3360,0,0,0,9,0,11.88888889
3361,2.06649175,0.147504564,0,2,9,9.727272727
3362,0,0,0,2,0,12
599,0.1684666,1,0,3,1,12
1373,6.382839849,0.150699393,0,7,10,10.41176471
1557,0,0,0,5,0,14
1669,0,0,0,4,0,13
1725,0,0,0,3,0,13
2035,5.812627669,0.133118851,0,10,12,11.81818182
2138,7.51381237,0.140134162,0.002645503,18,10,11.14285714
3351,0,0,0,1,0,16
3352,0,0,0,6,0,10.66666667
1327,2.306452584,0.129835678,0.002923977,10,9,11.68421053
1329,1.417767714,0.123880878,0.011111111,7,3,13
2063,7.212080607,0.139051237,0,12,10,12.81818182
2562,4.063170716,0.16349476,0.038095238,5,10,46.93333333
2904,3.875303839,0.144659505,0.003267974,8,10,10.77777778
3015,7.686961783,0.162591594,0.005263158,10,10,37
3411,3.969668307,0.134277114,0,7,10,9.352941176
7717,0,0,0,1,0,30
7718,3.00414603,0.138708946,0,3,2,16.6
47,28.70056863,0.154165992,0.002522523,65,10,14.46666667
226,39.97961613,0.167720837,0.011044177,74,10,21.22619048
385,16.59626424,0.156931364,0.026573427,56,10,22.74242424
386,33.91678098,0.156232899,0.008954825,77,10,16.05747126
388,26.22781194,0.151480316,0.011508951,59,10,18.05797101
389,0,0,0.011986301,73,0,16.26027397
998,0,0,0,7,0,24.85714286
2451,0,0,0,6,0,15.83333333
3358,3.723306808,0.14774119,0.003676471,8,9,13.17647059
3359,2.265653963,0.14130632,0,3,8,13.90909091
618,5.78729511,0.144196774,0,13,10,13.47826087
620,0,0,0,8,0,16.625
864,0,0,0.005494505,14,0,16.07142857
1780,0,0,0.013888889,9,0,22.11111111
3035,10.64433157,0.161949061,0.013071895,8,10,42.72222222
3353,0,0,0,1,0,22
3354,0,0,0,1,0,22
3355,0,0,0,3,0,36
3356,0,0,0,6,0,13.33333333
3357,0,0,0,9,0,14.11111111
43,1.034630052,0.148610195,0,4,10,17.85714286
44,0,0,0,8,0,12.625
45,3.639526236,0.150524595,0,7,10,12.58823529
46,0,0,0,5,0,10.6
48,26.17012801,0.149499921,2.40E-04,55,10,12.84615385
49,0,0,0,9,0,14.11111111
50,4.190882283,0.136181512,0.004761905,5,10,11.2
51,0,0,0,1,0,14
52,0,0,0,7,0,14.28571429
202,7.132787782,0.155236162,0,16,10,11.46153846
652,0,0,0,7,0,14.28571429
802,0.249865352,1,0.005494505,9,5,11.71428571
1030,0.319253608,0.124601754,0,3,1,26
3119,4.227553997,0.14832453,0,7,10,13.70588235
3363,4.838831911,0.142783316,0.003676471,7,10,12.94117647
3364,0,0,0,1,0,17
3365,0,0,0,4,0,15.75
3366,5.689035866,0.160228229,0,2,10,13.91666667
3367,0,0,0,6,0,12.66666667
557,4.170529413,0.125373265,0,3,10,16.23076923
1198,3.157540477,0.123260466,0.007751938,33,10,13.34883721
2323,0,0,0,13,0,18.46153846
3018,7.107348784,0.138469,0,6,10,19.9375
3368,5.081023098,0.149099138,0.004166667,6,10,14.6875
3369,0,0,0,1,0,75
3370,19.62044041,0.152394,0.003076923,16,10,14.53846154
3371,0,0,0,5,0,27
3372,11.05990579,0.161287285,0,8,10,43.61111111
485,0,0,0,19,0,17.78947368
990,0,0,0,3,0,30
1036,0,0,0,9,0,18.11111111
1435,0,0,0,11,0,20.63636364
1471,0,0,0,7,0,27.42857143
2180,0,0,0,7,0,29.14285714
2237,0,0,0,3,0,30.66666667
2574,8.249415054,0.139456502,0,6,9,18.46666667
2575,11.33947664,0.155132129,0,5,10,15.46666667
2576,13.69633892,0.160932715,0.006410256,3,10,22
340,0,0,0,8,0,11.375
937,0,0,0,6,0,16.33333333
1313,0.603771794,1,0.005494505,4,10,7.285714286
2114,3.889282223,0.137007118,0,8,8,10.3125
3373,0,0,0,1,0,15
3374,0.235917197,0.109913378,0,2,1,18
3375,0,0,0,1,0,15
3376,0,0,0,5,0,25.8
3377,0,0,0,12,0,12.41666667
3378,4.363551415,0.153502876,0.010989011,4,10,16.35714286
53,3.818805087,0.146352716,0.004166667,6,10,12.625
54,0,0,0,12,0,17.08333333
55,2.535321959,0.159642877,0,4,10,15
56,2.579280031,0.134862775,0,10,10,9.6
57,6.312113721,0.147056299,0,13,10,12.73913043
58,0,0,0,9,0,14.22222222
59,0,0,0.023809524,7,0,13.85714286
60,0,0,0,5,0,12.6
61,0,0,0,5,0,13
62,0,0,0,3,0,15.66666667
63,2.916475489,0.148219292,0.019230769,3,10,10.46153846
975,1.923279855,1,0,6,10,5.25
1262,0,0,0,9,0,16.11111111
1267,3.86099501,0.147618966,0,7,10,10.11764706
1525,3.243064988,0.118655104,0.002463054,21,8,12.20689655
1850,2.83742985,0.161912323,0.028571429,5,10,52.6
2428,5.283499314,0.155050688,0.005263158,10,10,12.15
2922,0,0,0,9,0,10.44444444
3040,9.223673087,0.151980268,0.002631579,10,10,12.75
3266,8.556824824,0.163879535,0.003676471,7,10,48.05882353
3379,0,0,0,9,0,12.55555556
469,0,0,0,8,0,16
1434,8.294326926,0.147776877,0,7,10,17.05882353
2039,4.378854317,0.138664033,0.003267974,8,10,9.888888889
2169,0,0,0,3,0,17.66666667
3385,0,0,0,1,0,20
3386,0,0,0,1,0,20
3387,0,0,0,1,0,20
3388,0,0,0,2,0,21
186,0,0,0,12,0,12.41666667
302,0,0,0,12,0,12.75
1508,0,0,0,3,0,16
2550,1.651645636,0.131860519,0,2,10,10.75
2879,4.193651598,0.16305279,0,3,10,50.61538462
2994,0,0,0,7,0,11
3380,0,0,0,6,0,13.5
3381,0,0,0,1,0,23
709,0.852603076,0.142020959,0.010989011,4,10,13.92857143
1274,0,0,0,3,0,13.33333333
1648,4.612489435,0.156816434,0.007352941,7,10,30.64705882
1784,6.350875823,0.141036408,0.005494505,4,10,12.21428571
2288,0,0,0,4,0,13
3063,1.927004634,0.143746643,0.004761905,5,10,9.733333333
3382,0,0,0,1,0,13
3383,4.414743485,0.150988964,0.004166667,6,10,11.4375
3384,0,0,0,4,0,12
64,2.796927946,0.121570409,0,11,10,9.761904762
65,0.253064331,1,0,3,3,11.16666667
66,0,0,0,1,0,21
67,0,0,0,9,0,13.77777778
68,3.825304647,0.123473698,0,12,7,9.052631579
69,0,0,0,5,0,17.2
70,0,0,0,6,0,24.83333333
71,1.95012348,0.133475666,0,1,10,9.090909091
72,0,0,0,3,0,16.66666667
73,0,0,0,1,0,21
74,0,0,0,1,0,21
1524,0,0,0,8,0,11.75
3420,0,0,0,4,0,11.25
3421,0,0,0,1,0,6
2476,0,0,0,12,0,20.75
3137,6.675131564,0.140776779,0.008333333,6,10,9.0625
4070,0,0,0,2,0,17
6626,0,0,0,2,0,15.5
6820,0,0,0,1,0,19
6821,0,0,0,1,0,19
6822,0,0,0,1,0,19
1245,1.35738101,0.091299621,0.002631579,10,10,8.65
1922,7.006158999,0.140996938,0,5,10,13.33333333
2873,0,0,0,5,0,12.2
3405,0,0,0,1,0,11
3406,0,0,0,1,0,11
3407,4.103806997,0.134684635,0,3,10,13.53846154
3408,0,0,0,1,0,11
3409,0,0,0,5,0,14.2
3410,0,0,0,1,0,11
75,0.302547048,0.118594315,0,3,1,15
76,4.776053221,0.134536544,0.005494505,4,10,6.642857143
1706,0,0,0.009090909,11,0,13.36363636
1722,0,0,0,2,0,15.5
2582,0,0,0.009090909,11,0,12.54545455
3422,4.492448507,0.155278377,0,1,5,13.5
3423,0,0,0,3,0,13.33333333
3424,0,0,0,1,0,14
3425,0,0,0,2,0,13
3426,0,0,0,2,0,12.5
3427,0,0,0,3,0,16.66666667
3428,0,0,0,3,0,12.66666667
77,7.296145039,0.161603774,0.006535948,8,10,13.94444444
78,4.293668693,0.154697829,0.006410256,3,10,9.692307692
79,0,0,0,2,0,14.5
80,2.345776931,0.166537041,0,5,10,47
81,0,0,0,8,0,12.875
82,3.731949892,0.155942757,0,2,10,11.58333333
83,3.831318718,0.153343479,0.005494505,4,10,9.928571429
85,8.987470949,0.158110428,0.00952381,11,10,15.23809524
86,0,0,0,4,0,13.25
581,3.901178089,0.148170573,0,4,10,9.5
2753,9.114232175,0.158253575,0.006410256,3,10,16.23076923
2758,0,0,0.033333333,6,0,12.33333333
2773,0.03373049,1,0.013888889,7,2,20.44444444
3395,0,0,0,6,0,13.33333333
3396,0,0,0,3,0,13
3397,0,0,0,1,0,13
3398,2.802268055,0.164294483,0,1,10,11.09090909
3399,0,0,0,1,0,13
221,11.74071916,0.146262744,0,64,10,12.64864865
223,52.64890243,0.156833663,0.001135995,69,10,13.89873418
275,19.01530525,0.156404076,0.001356852,57,10,13.50746269
277,24.35918827,0.158019999,0.002961866,64,10,14.75675676
387,22.86008824,0.154127153,5.46E-04,51,10,12.70491803
688,34.4176036,0.155588657,0.00245614,66,10,15.18421053
693,24.5575601,0.161609872,0.004072682,47,10,15.19298246
841,14.0300528,0.145024467,6.73E-04,45,10,12.41818182
842,32.85842043,0.152788184,6.53E-04,79,9,14.09090909
843,0.031223464,1,0,4,1,12.6
250,3.047950643,0.163772993,0.005494505,4,10,48.07142857
785,0,0,0,7,0,20.85714286
1224,0,0,0.007575758,12,0,12.16666667
1361,0,0,0,4,0,12.25
1437,1.869435117,0.140874028,0,6,10,13.6875
1504,5.126908893,0.153726039,0,5,9,8.714285714
2440,0.701934535,0.162133,0.038461538,3,10,53
3393,1.712194193,0.149372166,0,2,9,13.63636364
3394,0.010195514,0.6,0,1,1,10
1612,0,0,0,4,0,14
1703,1.388385597,0.159458604,0.007575758,2,10,53.83333333
1704,0,0,0,1,0,14
1705,0,0,0,3,0,12.33333333
1707,5.553686198,0.164140204,0.005494505,4,10,17.07142857
1708,1.328557889,0.144938572,0.006410256,3,10,11.30769231
1709,1.113160695,0.136932645,0,4,10,9.714285714
1710,0,0,0,1,0,14
1802,0,0,0,7,0,13
1927,0,0,0.006410256,13,0,14.15384615
2327,13.48497488,0.158303299,0.002380952,12,9,15.57142857
2583,14.27814087,0.163794917,0.002164502,12,10,12.13636364
3204,2.044931887,0.143693588,0.014285714,5,10,13.2
3389,0,0,0.014285714,15,0,16.2
3390,4.659266979,0.154792887,0,5,10,11.73333333
3391,0,0,0.047619048,7,0,15.85714286
3392,3.073383252,0.14841963,0.019230769,3,10,10.61538462
87,0,1,0,0,1,6
88,0,0,0,6,0,10.5
89,1.46233565,0.161445374,0.009090909,1,10,10.90909091
90,7.284509667,0.152869994,0.004166667,7,9,12.4375
91,0,0,0,3,0,11.66666667
92,0.034384146,1,0,4,1,11.6
93,2.565792314,0.146889845,0,4,9,13.30769231
94,0.821188078,0.134703699,0.009090909,6,5,14.54545455
95,8.307941484,0.161704457,0,9,10,11.05263158
96,0.749888774,0.15565652,0,1,9,9.7
97,2.164765883,0.153478121,0.006410256,4,9,27.30769231
98,0,0,0,2,0,12
676,9.977853248,0.150173581,0.001008065,22,10,16.34375
1997,0,0,0,3,0,15.33333333
2452,7.70793894,0.152842714,0,3,10,14.76923077
3400,0,0,0,1,0,16
3401,10.16968141,0.150500791,0.002380952,11,10,15.9047619
3402,0,0,0,8,0,12.75
3403,0,0,0,1,0,16
3404,9.176996146,0.159574468,0,6,10,12.1875
560,0,0,0,10,0,23.5
1022,11.36059102,0.154441199,0,20,10,13.53333333
1033,0,0,0,6,0,17.33333333
1472,0,0,0,12,0,9.25
1711,0,0,0,3,0,27.33333333
2281,1.88014848,0.130149372,0,8,9,10.11764706
3418,5.734354554,0.157439065,0.003267974,8,10,13.05555556
3419,0,0,0,6,0,17.16666667
1629,0,0,0,6,0,12.16666667
2345,0,0,0,2,0,11.5
2346,0,0,0.013888889,9,0,13.33333333
2347,0,0,0,2,0,13
1355,2.973843959,0.154890862,0,7,10,11.17647059
1514,2.263125937,0.154871257,0.047619048,2,5,17.28571429
1631,0,0,0,10,0,13.9
2609,1.126091173,0.128694424,0,6,10,15.75
2838,4.019785474,0.150866624,0.019230769,3,10,15.07692308
3413,0.475383316,0.777777778,0,1,5,6.166666667
3414,0.783816819,0.144535007,0,1,5,16.83333333
3415,1.476155837,0.153883469,0,1,10,10.45454545
3416,2.571002713,0.160489432,0.053030303,2,10,65.83333333
3417,2.136108739,0.162730606,0.005494505,4,10,47.5
468,0,0,0,4,0,13.25
1691,2.529782718,0.132823646,0.006535948,8,10,10.33333333
2121,0.01325214,1,0,4,5,12.55555556
2468,0.350159501,0.144569162,0,2,10,10.08333333
2681,1.750307281,0.169731679,0.019230769,3,10,13.53846154
2682,0,0,0,2,0,12.5
3442,1.871295145,0.128132246,0,6,9,9.8
3443,0,0,0,1,0,10
3444,1.97896768,0.154703417,0,2,10,9
279,13.54936558,0.148796081,7.40E-04,65,9,13.93243243
1681,0,0,0,22,0,14.40909091
2101,0.115189871,0.11814282,0,5,1,23.33333333
2219,0.778451935,0.14125738,0,3,10,10.30769231
2997,0,0,0,5,0,13.6
3412,0.514022411,0.133180949,0,1,10,7.363636364
99,5.484534716,0.154505276,0.006410256,3,10,12.53846154
100,0,0,0,1,0,13
101,6.250499377,0.138951979,0.002380952,11,10,12.47619048
102,0,0,0,2,0,11.5
103,0.875593928,0.142978766,0,3,5,13
104,4.0854404,0.149309672,0.003676471,8,9,12.05882353
105,1.168392123,0.145648403,0,1,10,9.363636364
106,2.122419718,0.141767082,0.003676471,7,10,13
107,3.281630942,0.153538649,0.008333333,6,10,12.8125
108,0.410656236,0.131811816,0,1,10,8.545454545
109,2.016554994,0.143597224,0,3,10,10.76923077
451,0,0,0,2,0,20
827,0,0,0.009090909,11,0,12.63636364
966,0.113435286,1,0,5,1,14
1111,0,0,0,6,0,25.66666667
1592,16.92833777,0.155937079,0,17,10,12.03703704
1766,0,0,0.007575758,12,0,16.58333333
2401,0,0,0,8,0,13.25
2639,0,0,0,9,0,20.77777778
3435,1.530831471,0.140929659,0.006410256,4,9,9.230769231
3436,0,0,0,6,0,12.66666667
424,0,0,0,11,0,12.72727273
1214,0,0,0,6,0,12.33333333
1772,7.630154486,0.154792887,0.002923977,9,10,12.15789474
3473,3.802724938,0.153307797,0,3,10,10.38461538
3474,0,0,0,20,0,12.45
729,0,0,0,2,0,13.5
737,0,0,0.005747126,30,0,16.6
1498,3.905689944,0.161332856,0,5,10,37.4
3277,5.279716905,0.156284213,0,6,10,12.3125
3437,3.723823359,0.14652798,0.004761905,5,10,10.8
3438,0,0,0,4,0,16.25
3439,0,0,0.023809524,7,0,13.28571429
3440,0,0,0,5,0,12.4
3441,0,0,0.033333333,6,0,11.66666667
629,0.013672868,1,0,5,1,14.83333333
1062,2.690269585,0.150113045,0,5,10,12.73333333
2571,3.051234803,0.162169838,0.011029412,7,10,36.05882353
2861,0,0,0,14,0,13.14285714
2875,0,0,0,3,0,11.66666667
3120,0,0,0,4,0,11.5
3429,0.448718749,0.366197183,0.019047619,6,9,8.733333333
3430,0,0,0,6,0,10.5
3431,0,0,0,1,0,11
473,2.103875365,0.139756874,0,7,10,14.52941176
640,0,0,0,18,0,13.05555556
1319,3.247022477,0.147000772,0.0125,7,9,15.625
2736,0,0,0,17,0,17.41176471
3218,0,0,0,3,0,12.66666667
3432,0,0,0,1,0,17
3433,0,0,0,4,0,13.75
3434,0,0,0,9,0,11.11111111
350,12.83576135,0.151945218,0.005,15,10,16.56
694,2.093083912,0.150424138,0.049450549,5,9,12.5
695,1.851745196,1,0.016339869,8,10,7.666666667
714,0,0,0.015151515,12,0,12.91666667
1096,7.027016504,0.153850299,0,10,10,20.2
1218,0,0,0,4,0,20.25
2186,2.910376139,0.139754593,0,7,10,12.35294118
3461,0,0,0,1,0,16
3462,0.192438203,1,0,8,1,10.11111111
3463,5.055586208,0.1535827,0,7,9,13.875
1910,0,0,0,14,0,15
1924,0,0,0,4,0,11.75
2306,0,0,0,7,0,11.14285714
3030,3.884528522,0.151651971,0,4,10,15.21428571
3445,0,0,0,5,0,11.4
3446,0,0,0,7,0,12.14285714
3447,0,0,0,4,0,13.25
3448,0,0,0.023809524,7,0,13.28571429
3449,0,0,0,2,0,13
123,2.303872893,0.111536508,0.001149425,19,11,11.46666667
1597,9.605352939,0.158180509,0,2,10,10.16666667
1919,0,0,0,5,0,14
2801,6.004485192,0.149900242,0.002631579,10,10,10.1
3168,0,0,0,15,0,12.6
3456,0,0,0,3,0,15.66666667
3457,0,0,0,4,0,17
3458,0,0,0,2,0,11.5
3459,0.015556851,1,0,2,1,9
110,5.793742761,0.153784002,0,5,10,11.4
111,0,0,0,8,0,22.25
112,3.139995728,0.135986917,0.003676471,7,10,11.52941176
113,0,0,0,6,0,12.33333333
114,4.088737016,0.154820867,0,4,10,13.64285714
115,0,0,0,3,0,16.66666667
116,5.711690688,0.166281621,0,3,10,14.23076923
117,0,0,0,5,0,14.2
118,0.357115304,1,0,1,10,6.909090909
119,0,0,0,7,0,13.42857143
120,2.233818291,0.14965404,0,5,9,10.64285714
1043,0,0,0,7,0,12.57142857
1049,0,0,0,13,0,14.23076923
1050,0,0,0.003267974,18,0,13.83333333
1535,0,0,0,6,0,23
1998,1.976892175,0.135941592,0.009803922,9,9,11.38888889
2404,0,0,0,3,0,13
2405,0,0,0,4,0,12.25
2406,0,0,0,1,0,17
2407,0.701286128,0.136331078,0,2,5,10.71428571
2408,2.353958231,0.148198775,0.006410256,3,10,10.84615385
924,0,0,0.011111111,10,0,13.8
1211,0,0,0,19,0,13
1512,5.614950004,0.163719774,0,4,10,11.14285714
2092,1.488169071,0.142945359,0,4,9,11.38461538
2413,1.874744255,0.130428824,0.002631579,10,10,10.8
2744,0,0,0,10,0,13.6
2745,0,0,0,5,0,12.8
2746,0,0,0,2,0,14
925,6.749362852,0.147751384,0,9,10,9.947368421
1451,4.535849641,0.157430383,0,8,9,10.23529412
2414,0.589492045,0.125970702,0,2,10,6.416666667
3317,0,0,0,8,0,14.625
3450,0,0,0,1,0,13
3451,12.54289934,0.180224729,0.001048218,6,48,9.888888889
3452,0.956173555,0.149039465,0.017857143,3,5,13.125
3453,0.608081719,0.132374078,0,2,10,10.08333333
3454,0,0,0,1,0,13
3455,1.633681464,0.163108682,0.00952381,5,10,50.13333333
181,0,0,0.023809524,7,0,17.14285714
307,0,0,0,5,0,12.8
911,0,0,0,5,0,23.8
963,0,0,0,7,0,12.42857143
1649,0,0,0,10,0,15.2
1714,0,0,0,5,0,28.4
2627,0,0,0,9,0,14.77777778
3231,0,0,0,4,0,10.75
3315,0,0,0,5,0,13.8
426,0,0,0,5,0,14.4
923,0,0,0,3,0,14
1299,4.757388058,0.160881325,0.005494505,4,10,35.71428571
1300,7.234432029,0.149099138,0,7,10,13.23529412
1301,0,0,0,3,0,12.66666667
1302,0,0,0.023809524,7,0,13.28571429
1303,0,0,0,12,0,11
1304,0,0,0,2,0,8.5
121,3.252358457,0.130991344,0,4,10,9.857142857
122,1.667893782,0.14205158,0,5,1,16.33333333
124,0,0,0,1,0,14
125,2.077412743,0.136426626,0,1,10,7.090909091
126,0,0,0,10,0,11.2
127,0,0,0,2,0,13
128,0,0,0,10,0,11.4
129,0,0,0,7,0,12.42857143
130,0,0,0,4,0,22.5
131,0,0,0,5,0,13
2022,19.76228768,0.165555233,0.006628788,23,10,14.45454545
486,0,0,0,13,0,14.46153846
538,0,0,0,9,0,15.77777778
701,0,0,0,2,0,22
1129,0,0,0,5,0,16.4
1130,0,0,0,4,0,31.5
1131,0,0,0,7,0,24
1132,0,0,0,3,0,37.66666667
1133,2.793610857,0.125479797,0.006410256,4,9,10.30769231
1134,0,0,0.010989011,14,0,15.42857143
1135,0,0,0.011111111,10,0,16.6
2030,0,0,0,4,0,11.75
2759,5.179568951,0.142285202,0.002380952,11,10,11.80952381
3464,0,0,0,4,0,32.5
3465,0,0,0,7,0,12.14285714
3466,0,0,0,4,0,11.5
3467,0,0,0,2,0,11
3468,0.192327985,1,0,2,1,8
3469,0,0,0,1,0,11
3470,0,0,0,6,0,13.66666667
3471,2.350556423,0.149288852,0,2,10,17.41666667
132,0.012652182,1,0,3,1,11.25
134,1.252927237,0.14072358,0.008333333,6,10,9.375
135,5.509188408,0.163118001,0.007142857,11,10,39.28571429
136,0,0,0,14,0,18.07142857
137,0,0,0,9,0,14.55555556
138,0,0,0,1,0,16
139,0.285860056,1,0,3,3,9.5
140,0,0,0.05,5,0,10.4
141,0,0,0,3,0,12.66666667
142,0.386770757,0.109825997,0.023809524,3,4,9.714285714
143,0.636997081,0.456521739,0.013888889,6,3,12
