AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,Outdegree,NeighborhoodConnectivity,PartnerOfMultiEdgedNodePairs,SelfLoops,Stress
1,2.15E-04,1,0,1,2,1,1,11.5,0,0,25969
0,0,0,0,0,1,1,0,11,0,0,0
6.606771745,0.695401449,0.151359853,0,18,11,1,10,10.18181818,0,0,112705044
7.121541156,0.626635854,0.140419044,0,17,10,1,9,7.4,0,0,103099533
0,0,0,0.5,0,2,2,0,10.5,0,0,0
6.739521308,1.0592051,0.148378491,0.011111111,18,10,1,9,7.4,0,0,172131647
6.362405137,0.559086059,0.157173267,0,16,11,1,10,9.818181818,0,0,89577305
7.740221833,1.442462062,0.129195264,0,17,11,1,10,4.909090909,0,0,235325159
1.166666667,0.387429832,0.857142857,0,2,6,1,5,7.666666667,0,0,64602457
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
2.076923077,0.002752552,0.481481481,0,3,2,1,1,12.5,0,0,285139
1,0.57788135,1,0,1,6,1,5,4.166666667,0,0,101923949
1,0.009944881,1,0,1,2,1,1,6.5,0,0,1640062
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.655224752,0.354797979,0.150257886,0,15,11,1,10,9.181818182,0,0,58563703
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.354816112,0.834068867,0.13596533,0,18,11,1,10,7.636363636,0,0,144955941
0,0,0,0,0,1,1,0,11,0,0,0
6.738237011,0.543236529,0.148406771,0,16,11,1,10,7.545454545,0,0,93086662
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
6.601284297,3.015366427,0.151485674,0,17,11,1,10,15.90909091,0,0,510814789
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
6.668301226,0.484554695,0.149963231,0,18,11,1,10,11.09090909,0,0,86727981
0,0,0,0,0,1,1,0,11,0,0,0
1,3.71E-04,1,0,1,2,1,1,12.5,0,0,33407
0,0,0,0,0,1,1,0,5,0,0,0
6.912200817,0.32446492,0.144671723,0,17,11,1,10,8.454545455,0,0,54940328
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.371978984,5.324906486,0.156937115,0.009090909,16,11,1,10,9.727272727,0,0,865227150
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.741155867,0.038506193,0.129179675,0,17,4,1,3,8.25,0,0,6042119
6.652189142,0.920950565,0.150326453,0,17,11,1,10,7.636363636,0,0,154262668
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.531465266,0.534458975,0.153105002,0,15,11,1,10,12.72727273,0,0,89435777
0,0,0,0,0,1,1,0,11,0,0,0
1.5,0,0.666666667,0.5,2,2,1,1,7,0,0,0
1,4.71E-05,1,0.333333333,1,3,2,1,6.666666667,0,0,3680
0,0,0,0,0,3,3,0,15.66666667,0,0,0
6.753998832,0.348132183,0.148060434,0,16,10,1,9,7.4,0,0,58239297
0,0,0,0,0,1,1,0,11,0,0,0
7.24635143,0.290649073,0.138000483,0,19,10,1,9,6.6,0,0,47911530
6.662813777,0.522633722,0.15008674,0,18,11,1,10,8.909090909,0,0,85094054
0,0,0,0,0,1,1,0,11,0,0,0
6.894570928,0.526292351,0.145041658,0,18,11,1,10,12.27272727,0,0,91338658
0,0,0,0,0,1,1,0,11,0,0,0
6.34676007,0.431966352,0.157560706,0,18,11,1,10,13.54545455,0,0,73302306
0,0,0,0,0,1,1,0,12,0,0,0
6.926211325,1.02911879,0.144379077,0,18,11,1,10,9.181818182,0,0,182007727
6.425452423,1.539236165,0.155631064,0,14,11,1,10,9.727272727,0,0,253274279
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,2,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
8.342089901,0.811072556,0.119874038,0,19,11,1,10,7.727272727,0,0,147217714
6.412609457,0.539600924,0.155942757,0,18,11,1,10,13,0,0,98328972
0,0,0,0,0,2,2,0,8.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.415411559,1.424513578,0.155874645,0,18,11,1,10,8.818181818,0,0,266021108
1,0.001552397,1,0,1,2,1,1,6.5,0,0,225387
0,0,0,0,0,1,1,0,11,0,0,0
6.167659078,0.470741693,0.162136069,0,15,11,1,10,10.36363636,0,0,81070360
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,3,3,0,11,0,0,0
7.565207239,0.425239786,0.132184085,0,17,10,1,9,8.1,0,0,76751741
7.072854641,0.417392221,0.141385629,0,18,6,1,5,9.833333333,0,0,75632533
6.199065966,3.644302954,0.161314625,0,15,11,1,10,13.45454545,0,0,617263534
0,0,0,0,0,1,1,0,10,0,0,0
6.451371862,0.402068489,0.155005791,0,17,11,1,10,11.45454545,0,0,67069912
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,3,0,0,0
0,0,0,0,0,1,1,0,3,0,0,0
6.854640981,0.575122424,0.145886561,0,16,10,1,9,7.9,0,0,105156037
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
9.055107998,0.209630326,0.110434906,0,18,5,1,4,8.6,0,0,36259648
6.643782837,0.93582064,0.15051666,0,17,11,1,10,9.272727273,0,0,171880020
6.229071804,0.686766289,0.160537562,0.022727273,17,12,2,10,52.5,0,0,137265982
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.73076474,5.798379322,0.148571528,0.009090909,15,11,1,10,11.63636364,0,0,942715733
6.074956217,0.355208178,0.16461024,0,16,12,2,10,15.5,0,0,66248928
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.308231173,0.553701637,0.158523043,0,16,11,1,10,17.81818182,0,0,89529154
7.286398132,0.219085895,0.13724202,0,18,3,2,1,12.66666667,0,0,38979792
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
1,0.182554579,1,0,1,2,1,1,7,0,0,31980159
6.377232925,1.578356689,0.156807821,0,16,11,1,10,10.90909091,0,0,264525896
6.431640397,1.320594421,0.15548133,0,16,11,1,10,9.090909091,0,0,223251401
6.268534734,0.734905499,0.159526914,0.009090909,17,11,1,10,13.18181818,0,0,116995616
6.639462931,0.929263319,0.150614592,0.018181818,17,11,1,10,9.545454545,0,0,159307063
6.732165791,1.239992788,0.148540608,0,17,11,1,10,9.636363636,0,0,206858333
0,0,0,0,0,1,1,0,11,0,0,0
7.238528897,0.289997846,0.138149618,0,18,11,1,10,10.36363636,0,0,48875771
0,0,0,0,0,1,1,0,11,0,0,0
7.860712201,0,0.127214936,0.5,19,2,1,1,14,0,0,0
6.385405721,0.513246847,0.15660712,0,15,11,1,10,10.45454545,0,0,84972561
6.531231757,0.966764558,0.153110476,0,17,11,1,10,11.81818182,0,0,154345356
6.672037361,1.334941577,0.149879257,0,18,11,1,10,7.545454545,0,0,237512801
6.474138938,1.598709261,0.154460695,0.007575758,18,12,2,10,16.91666667,0,0,283584753
7.192177466,0.113055797,0.139039951,0,18,2,1,1,12.5,0,0,17105215
9.18400467,0.008379373,0.108884962,0,19,2,1,1,10,0,0,1076982
6.798015178,1.376333476,0.14710176,0.009090909,18,11,1,10,8.636363636,0,0,238154251
0,0,0,0,0,1,1,0,5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
1,1.91E-04,1,0,1,2,1,1,8.5,0,0,14900
7.466549912,0.2986831,0.133930666,0.015151515,18,12,2,10,8.666666667,0,0,52557615
6.369527145,0.989659544,0.156997525,0,16,11,1,10,9.272727273,0,0,175278618
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,2,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
1,0.192327985,1,0,1,2,1,1,6.5,0,0,35752033
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.281260946,0.68584783,0.159203703,0,16,12,2,10,9.333333333,0,0,117194918
6.823467601,1.468186498,0.146553052,0,18,11,1,10,7.454545455,0,0,267943406
6.504962055,0.739513627,0.153728798,0,17,11,1,10,11,0,0,133829329
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
7.301109165,1.624287857,0.136965491,0,17,11,1,10,7.727272727,0,0,289119478
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,10.5,0,0,0
6.78178634,0.361167644,0.147453775,0.018181818,15,11,1,10,11,0,0,65237681
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.28219498,0.859326949,0.159180032,0,16,11,1,10,9.545454545,0,0,145560872
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,6,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
6.45242265,0.391378854,0.154980548,0,17,10,1,9,8.4,0,0,71533686
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.140338587,0.678575747,0.162857469,0,16,11,1,10,10.63636364,0,0,123889016
6.937536486,0.104085866,0.144143386,0,17,6,1,5,12.5,0,0,17497877
6.533099825,0.783844554,0.153066695,0,17,6,1,5,10.16666667,0,0,141521860
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
7.099124343,0.661027834,0.140862443,0,17,10,2,8,11.9,0,0,115466900
6.266666667,4.436224892,0.159574468,0,16,10,1,9,11,0,0,758132071
6.653590193,2.068155857,0.150294799,0,15,10,2,8,12.2,0,0,346652657
6.612726211,1.30914523,0.15122356,0,15,11,2,9,15.45454545,0,0,233707267
0,0,0,0,0,1,1,0,11,0,0,0
1,0.384655971,1,0,1,3,1,2,4,0,0,72960058
6.252072388,0.290606551,0.159946964,0.036363636,16,11,1,10,11.72727273,0,0,51986802
6.957968476,0.9159095,0.143720111,0,17,10,1,9,7.7,0,0,173072332
0,0,0,0,0,2,2,0,10,0,0,0
0,0,0,0,0,2,2,0,10,0,0,0
7.408873322,1.406784073,0.134973289,0,18,11,1,10,9.636363636,0,0,243300537
0,0,0,0,0,2,2,0,6.5,0,0,0
0,0,0,0,0,1,1,0,10,0,0,0
7.022533567,0.490581486,0.14239875,0,18,6,1,5,7.5,0,0,91990136
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.642381786,0.39957973,0.150548408,0,16,11,1,10,10.27272727,0,0,66920691
0,0,0,0,0,1,1,0,6,0,0,0
6.739988325,0.315658507,0.14836821,0,17,11,1,10,8.818181818,0,0,55012059
0,0,0,0,0,1,1,0,10,0,0,0
7.150729714,0.337108029,0.139845867,0.011111111,17,10,1,9,8.4,0,0,57057886
0,0,0,0,0,1,1,0,11,0,0,0
6.16800934,0.256524674,0.162126862,0.054545455,17,11,1,10,58.45454545,0,0,47769426
1,3.77E-04,1,0,1,2,1,1,8.5,0,0,39089
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
8.201634559,0.029692104,0.121926915,0,19,11,1,10,17,0,0,3977454
0,0,0,0,0,1,1,0,11,0,0,0
6.451488616,6.806220352,0.155002986,0.009090909,15,11,1,10,8.272727273,0,0,1110416431
6.157151197,0.42954303,0.162412773,0,17,12,2,10,47.25,0,0,79703264
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.148628138,0.941715346,0.13988698,0,17,10,1,9,5.3,0,0,161497515
5.895388208,8.032239542,0.169624114,0,15,11,1,10,9.727272727,0,0,1369936795
0,0,0,0,0,2,2,0,11.5,0,0,0
6.674255692,2.282899688,0.149829441,0,18,11,1,10,9.727272727,0,0,383162158
0,0,0,0,0,1,1,0,11,0,0,0
7.277641565,0.290812686,0.137407152,0,18,11,1,10,7.909090909,0,0,56007552
6.857910099,1.327625768,0.145817018,0.009090909,15,11,1,10,14.18181818,0,0,223543076
6.030939872,1.726878523,0.165811635,0,17,12,2,10,13.33333333,0,0,282173872
0,0,0,0,0,1,1,0,12,0,0,0
6.366024518,3.341765587,0.157083906,0,16,11,1,10,10.45454545,0,0,589811496
0,0,0,0,0,2,2,0,12,0,0,0
6.80525394,0.665854965,0.146945288,0,18,11,1,10,7.181818182,0,0,114655991
0,0,0,0,0,2,2,0,11,0,0,0
7.794395797,1.285094194,0.128297308,0,19,5,2,3,7.8,0,0,214741472
0,0,0,0,0,1,1,0,11,0,0,0
6.716987741,0.590514929,0.148876258,0,16,11,1,10,7.909090909,0,0,101405030
6.923292469,0.537708462,0.144439947,0,17,11,1,10,8.545454545,0,0,104727686
1,0.195248906,1,0,1,11,1,10,7.181818182,0,0,34395183
0,0,0,0,0,1,1,0,11,0,0,0
6.789959136,1.276698242,0.147276291,0,18,12,2,10,7.333333333,0,0,250842212
7.233041448,0.746035321,0.138254427,0,18,11,1,10,7.090909091,0,0,126173824
7.275539988,0.058990245,0.137446843,0,18,2,1,1,12,0,0,12369666
6.149912434,2.211937266,0.162603941,0,16,11,2,9,10.18181818,0,0,382462173
1,0.192327985,1,0,1,2,1,1,6.5,0,0,34708188
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,2,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.151546994,0.197902426,0.139829886,0,18,2,1,1,11,0,0,35227551
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,8.5,0,0,0
1,0.597190292,1,0,1,11,1,10,5.636363636,0,0,101477561
0,0,0,0,0,4,4,0,11,0,0,0
6.927262113,0.477313871,0.144357177,0,18,12,2,10,10.75,0,0,81265996
6.219964974,3.099207846,0.16077261,0,17,11,1,10,11.63636364,0,0,559460004
6.705195563,2.373352788,0.149138081,0.009090909,16,11,1,10,9.909090909,0,0,416449901
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,2,0,0,0
6.389375365,1.168084309,0.156509822,0,16,11,1,10,12.72727273,0,0,202316463
6.871687099,0.3714619,0.14552467,0.009090909,17,11,1,10,8.909090909,0,0,64033119
0,0,0,0,0,2,2,0,11.5,0,0,0
6.572446001,0.212720367,0.152150356,0,18,6,1,5,12.16666667,0,0,41523549
7.201984822,1.187046243,0.138850612,0.022222222,16,10,1,9,8,0,0,211026983
0,0,0,0,0,1,1,0,6,0,0,0
6.407472271,2.185656525,0.156067784,0,17,11,1,10,9.090909091,0,0,396384682
7.967775832,0.409276525,0.125505539,0,19,11,1,10,5.909090909,0,0,92308965
6.777583187,1.142502873,0.14754522,0,16,11,1,10,11,0,0,218817586
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.650087566,1.521584023,0.130717458,0,16,6,1,5,11.16666667,0,0,254594575
0,0,0,0,0,1,1,0,10,0,0,0
6.544658494,4.836541859,0.152796361,0,17,12,3,9,9.75,0,0,832040695
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
7.231056626,0.311232403,0.138292376,0,18,10,1,9,9,0,0,94781684
6.422650321,2.341110133,0.155698964,0,16,10,1,9,8.1,0,0,473219357
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.524460012,3.864985217,0.153269389,0,17,11,1,10,11.63636364,0,0,670745396
7.659077642,0.216185658,0.130564024,0,18,6,1,5,9.333333333,0,0,37502044
7.104962055,1.139419181,0.140746705,0,17,11,1,10,11.27272727,0,0,196796661
7.761587858,0.411368864,0.128839616,0,19,6,1,5,10,0,0,70709209
0,0,0,0,0,1,1,0,26,0,0,0
0,0,0,0,0,2,2,0,14,0,0,0
6.224868651,0.488000573,0.16064596,0,17,11,1,10,57.72727273,0,0,82439636
1,0.162450455,1,0,1,2,1,1,6,0,0,29872327
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
6.668768243,1.554996543,0.149952729,0,17,11,1,10,9.181818182,0,0,286992617
0,0,0,0,0,1,1,0,10,0,0,0
1.1,0.193848211,0.909090909,0,2,10,1,9,7,0,0,37996459
6.536952715,0.628857212,0.152976478,0,18,6,1,5,13,0,0,113053504
7.017863398,0.6948524,0.142493512,0,16,10,1,9,8,0,0,120782935
0,0,0,0,0,4,4,0,11.25,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.625335668,0.461904665,0.150935749,0,17,11,1,10,10.63636364,0,0,83353501
6.497956801,0.487258287,0.153894529,0,17,6,1,5,11.5,0,0,84599171
0,0,0,0,0,4,4,0,10,0,0,0
6.42124927,1.549946659,0.155732936,0,17,11,1,10,8.363636364,0,0,266468119
0,0,0,0,0,1,1,0,12,0,0,0
6.176999416,7.892644368,0.161890901,0,15,11,1,10,9.181818182,0,0,1292075285
0,0,0,0,0,1,1,0,12,0,0,0
7.769410391,0.20850986,0.128709896,0,17,11,1,10,9.636363636,0,0,36443278
6.301342674,0.439122269,0.158696337,0,15,12,2,10,12,0,0,72723640
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,7,0,0,0
6.6744892,0.77972575,0.149824199,0,16,12,2,10,9.333333333,0,0,133659438
6.576415645,1.080555872,0.152058515,0,16,12,2,10,9.833333333,0,0,190408127
0,0,0,0,0,1,1,0,13,0,0,0
8.261879743,0.015920808,0.121037831,0,19,2,1,1,11,0,0,3657358
6.167659078,0.517974037,0.162136069,0,17,11,1,10,9.181818182,0,0,87367972
6.810624635,4.90484451,0.14682941,0,15,11,1,10,7.909090909,0,0,832297759
6.356800934,1.931826683,0.157311832,0,17,12,2,10,9.583333333,0,0,310680902
6.630706363,1.092843982,0.150813495,0,17,12,2,10,11.58333333,0,0,188967729
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,1,1,0,13,0,0,0
6.327145359,5.214071622,0.158049159,0,15,13,3,10,10.23076923,0,0,912518658
7.149211909,0.943146018,0.139875557,0.009090909,18,11,1,10,11.90909091,0,0,158885521
9.334851138,0.225678507,0.107125436,0.007575758,20,12,2,10,8.5,0,0,37866652
0,0,0,0,0,1,1,0,11,0,0,0
6.287332166,0.324359908,0.159049971,0,18,10,1,9,11.7,0,0,55749331
7.408406305,0.48971169,0.134981798,0,17,11,1,10,9.636363636,0,0,81915612
0,0,0,0,0,2,2,0,6,0,0,0
6.765207239,0.861907769,0.147815132,0,18,11,1,10,9.090909091,0,0,167762461
7.904261529,0.631846429,0.126514032,0,19,11,1,10,8.454545455,0,0,110955735
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,4,4,0,10,0,0,0
6.694103911,2.478304929,0.149385192,0.007575758,16,12,3,9,8.666666667,0,0,437920134
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.127028605,0.386531631,0.16321125,0,17,11,1,10,10.81818182,0,0,64339729
0,0,0,0,0,1,1,0,9,0,0,0
0,0,0,0,0,4,4,0,11.5,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,1,1,0,14,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.898190309,0.73149379,0.144965557,0.006410256,16,13,3,10,9.461538462,0,0,123513966
0,0,0,0,0,1,1,0,11,0,0,0
7.266666667,0.58454146,0.137614679,0,17,12,2,10,10.25,0,0,96684951
6.237478109,1.239289644,0.160321204,0,17,11,1,10,14.18181818,0,0,201783086
7.034559253,0.493310299,0.142155317,0.007575758,18,12,2,10,7.666666667,0,0,90122595
1.523809524,1.193627107,0.65625,0,2,11,1,10,6.909090909,0,0,202834238
0,0,0,0,0,1,1,0,13,0,0,0
6.197898424,0.968742804,0.161345013,0,18,11,1,10,11.90909091,0,0,158737850
0,0,0,0,0,1,1,0,2,0,0,0
6.27834209,3.548154324,0.159277718,0,17,12,3,9,10,0,0,643035960
0,0,0,0,0,1,1,0,2,0,0,0
7.802685347,0.046121492,0.128161006,0,17,6,1,5,11.16666667,0,0,6743738
6.958201985,1.957524106,0.143715288,0,18,11,1,10,7.727272727,0,0,350521444
0,0,0,0,0,2,2,0,11,0,0,0
0,0,0,0,0,3,3,0,9.333333333,0,0,0
6.708464682,0.761598195,0.149065404,0,15,12,2,10,10.91666667,0,0,129955188
0,0,0,0,0,1,1,0,11,0,0,0
6.398015178,0.511885314,0.156298473,0,17,10,1,9,10.8,0,0,86345943
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,2,2,0,13,0,0,0
7.462113252,0.231857207,0.134010295,0,17,3,2,1,11.66666667,0,0,36398823
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
6.502276708,1.830631068,0.153792286,0.009090909,16,11,1,10,12.54545455,0,0,301116975
0,0,0,0,0,1,1,0,11,0,0,0
1,0.192327985,1,0,1,2,1,1,4.5,0,0,34339090
0,0,0,0,0,1,1,0,8,0,0,0
0,0,0,0,0,1,1,0,8,0,0,0
0,0,0,0.166666667,0,3,3,0,9.333333333,0,0,0
7.290251022,0.599271442,0.137169488,0.018181818,18,11,1,10,8.636363636,0,0,104547652
0,0,0,0,0,1,1,0,12,0,0,0
0,0,0,0,0,2,2,0,11.5,0,0,0
0,0,0,0,0,1,1,0,12,0,0,0
6.954699358,0.685609177,0.143787668,0,17,6,1,5,11.33333333,0,0,114687324
0,0,0,0,0,1,1,0,11,0,0,0
0,0,0,0,0,1,1,0,11,0,0,0
1,0.167488831,1,0,1,2,1,1,7,0,0,29780348
0,0,0,0,0,1,1,0,11,0,0,0
