AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0,0,1,1,FALSE,8772,10,0,0,FALSE,0,8772,0
0,0,0,0,0,1,1,FALSE,8769,11,0,0,FALSE,0,8769,0
0,0,0,0,0,1,1,FALSE,8767,11,0,0,FALSE,0,8767,0
0,0,0,0,0,1,1,FALSE,8766,11,0,0,FALSE,0,8766,0
2.076923077,0.002752552,0.481481481,0,3,2,1,FALSE,8765,12.5,1,0,FALSE,0,8765,285139
1,0.57788135,1,0,1,6,1,FALSE,8764,4.166666667,5,0,FALSE,0,8764,101923949
1,0.009944881,1,0,1,2,1,FALSE,8763,6.5,1,0,FALSE,0,8763,1640062
0,0,0,0,0,1,1,FALSE,8762,11,0,0,FALSE,0,8762,0
0,0,0,0,0,1,1,FALSE,8761,11,0,0,FALSE,0,8761,0
6.655224752,0.354797979,0.150257886,0,15,11,1,FALSE,8760,9.181818182,10,0,FALSE,0,8760,58563703
0,0,0,0,0,1,1,FALSE,8759,11,0,0,FALSE,0,8759,0
0,0,0,0,0,2,2,FALSE,8758,11,0,0,FALSE,0,8758,0
0,0,0,0,0,1,1,FALSE,8753,11,0,0,FALSE,0,8753,0
7.354816112,0.834068867,0.13596533,0,18,11,1,FALSE,8752,7.636363636,10,0,FALSE,0,8752,144955941
0,0,0,0,0,1,1,FALSE,8750,11,0,0,FALSE,0,8750,0
6.738237011,0.543236529,0.148406771,0,16,11,1,FALSE,8754,7.545454545,10,0,FALSE,0,8754,93086662
0,0,0,0,0,1,1,FALSE,8748,11,0,0,FALSE,0,8748,0
0,0,0,0,0,2,2,FALSE,8747,11,0,0,FALSE,0,8747,0
6.601284297,3.015366427,0.151485674,0,17,11,1,FALSE,8749,15.90909091,10,0,FALSE,0,8749,510814789
0,0,0,0,0,1,1,FALSE,8745,10,0,0,FALSE,0,8745,0
0,0,0,0,0,1,1,FALSE,8744,10,0,0,FALSE,0,8744,0
6.668301226,0.484554695,0.149963231,0,18,11,1,FALSE,8742,11.09090909,10,0,FALSE,0,8742,86727981
0,0,0,0,0,1,1,FALSE,8741,11,0,0,FALSE,0,8741,0
1,3.71E-04,1,0,1,2,1,FALSE,8740,12.5,1,0,FALSE,0,8740,33407
0,0,0,0,0,1,1,FALSE,8783,5,0,0,FALSE,0,8783,0
6.912200817,0.32446492,0.144671723,0,17,11,1,FALSE,8739,8.454545455,10,0,FALSE,0,8739,54940328
0,0,0,0,0,1,1,FALSE,8738,11,0,0,FALSE,0,8738,0
0,0,0,0,0,1,1,FALSE,8736,11,0,0,FALSE,0,8736,0
6.371978984,5.324906486,0.156937115,0.009090909,16,11,1,FALSE,8735,9.727272727,10,0,FALSE,0,8735,865227150
0,0,0,0,0,1,1,FALSE,8734,11,0,0,FALSE,0,8734,0
0,0,0,0,0,1,1,FALSE,8731,11,0,0,FALSE,0,8731,0
0,0,0,0,0,1,1,FALSE,8729,11,0,0,FALSE,0,8729,0
7.741155867,0.038506193,0.129179675,0,17,4,1,FALSE,8726,8.25,3,0,FALSE,0,8726,6042119
6.652189142,0.920950565,0.150326453,0,17,11,1,FALSE,8725,7.636363636,10,0,FALSE,0,8725,154262668
0,0,0,0,0,1,1,FALSE,8724,11,0,0,FALSE,0,8724,0
0,0,0,0,0,1,1,FALSE,8723,11,0,0,FALSE,0,8723,0
6.531465266,0.534458975,0.153105002,0,15,11,1,FALSE,8722,12.72727273,10,0,FALSE,0,8722,89435777
0,0,0,0,0,1,1,FALSE,8721,11,0,0,FALSE,0,8721,0
1.5,0,0.666666667,0.5,2,2,1,FALSE,8728,7,1,0,FALSE,0,8728,0
1,4.71E-05,1,0.333333333,1,3,2,FALSE,8727,6.666666667,1,0,FALSE,0,8727,3680
0,0,0,0,0,3,3,FALSE,8720,15.66666667,0,0,FALSE,0,8720,0
6.753998832,0.348132183,0.148060434,0,16,10,1,FALSE,8719,7.4,9,0,FALSE,0,8719,58239297
0,0,0,0,0,1,1,FALSE,8718,11,0,0,FALSE,0,8718,0
7.24635143,0.290649073,0.138000483,0,19,10,1,FALSE,8717,6.6,9,0,FALSE,0,8717,47911530
6.662813777,0.522633722,0.15008674,0,18,11,1,FALSE,8716,8.909090909,10,0,FALSE,0,8716,85094054
0,0,0,0,0,1,1,FALSE,8715,11,0,0,FALSE,0,8715,0
6.894570928,0.526292351,0.145041658,0,18,11,1,FALSE,8714,12.27272727,10,0,FALSE,0,8714,91338658
0,0,0,0,0,1,1,FALSE,8713,11,0,0,FALSE,0,8713,0
6.34676007,0.431966352,0.157560706,0,18,11,1,FALSE,8712,13.54545455,10,0,FALSE,0,8712,73302306
0,0,0,0,0,1,1,FALSE,8711,12,0,0,FALSE,0,8711,0
6.926211325,1.02911879,0.144379077,0,18,11,1,FALSE,8710,9.181818182,10,0,FALSE,0,8710,182007727
6.425452423,1.539236165,0.155631064,0,14,11,1,FALSE,8709,9.727272727,10,0,FALSE,0,8709,253274279
0,0,0,0,0,1,1,FALSE,8708,12,0,0,FALSE,0,8708,0
0,0,0,0,0,1,1,FALSE,8707,11,0,0,FALSE,0,8707,0
0,0,0,0,0,1,1,FALSE,8746,2,0,0,FALSE,0,8746,0
0,0,0,0,0,1,1,FALSE,8705,12,0,0,FALSE,0,8705,0
0,0,0,0,0,1,1,FALSE,8704,11,0,0,FALSE,0,8704,0
0,0,0,0,0,1,1,FALSE,8703,11,0,0,FALSE,0,8703,0
8.342089901,0.811072556,0.119874038,0,19,11,1,FALSE,8702,7.727272727,10,0,FALSE,0,8702,147217714
6.412609457,0.539600924,0.155942757,0,18,11,1,FALSE,8706,13,10,0,FALSE,0,8706,98328972
0,0,0,0,0,2,2,FALSE,8737,8.5,0,0,FALSE,0,8737,0
0,0,0,0,0,1,1,FALSE,8701,11,0,0,FALSE,0,8701,0
0,0,0,0,0,1,1,FALSE,8700,11,0,0,FALSE,0,8700,0
6.415411559,1.424513578,0.155874645,0,18,11,1,FALSE,8699,8.818181818,10,0,FALSE,0,8699,266021108
1,0.001552397,1,0,1,2,1,FALSE,8698,6.5,1,0,FALSE,0,8698,225387
0,0,0,0,0,1,1,FALSE,8697,11,0,0,FALSE,0,8697,0
6.167659078,0.470741693,0.162136069,0,15,11,1,FALSE,8693,10.36363636,10,0,FALSE,0,8693,81070360
0,0,0,0,0,1,1,FALSE,8692,10,0,0,FALSE,0,8692,0
0,0,0,0,0,1,1,FALSE,8695,11,0,0,FALSE,0,8695,0
0,0,0,0,0,3,3,FALSE,8694,11,0,0,FALSE,0,8694,0
7.565207239,0.425239786,0.132184085,0,17,10,1,FALSE,8696,8.1,9,0,FALSE,0,8696,76751741
7.072854641,0.417392221,0.141385629,0,18,6,1,FALSE,8793,9.833333333,5,0,FALSE,0,8793,75632533
6.199065966,3.644302954,0.161314625,0,15,11,1,FALSE,8688,13.45454545,10,0,FALSE,0,8688,617263534
0,0,0,0,0,1,1,FALSE,8687,10,0,0,FALSE,0,8687,0
6.451371862,0.402068489,0.155005791,0,17,11,1,FALSE,8691,11.45454545,10,0,FALSE,0,8691,67069912
0,0,0,0,0,1,1,FALSE,8690,12,0,0,FALSE,0,8690,0
0,0,0,0,0,1,1,FALSE,8733,3,0,0,FALSE,0,8733,0
0,0,0,0,0,1,1,FALSE,8732,3,0,0,FALSE,0,8732,0
6.854640981,0.575122424,0.145886561,0,16,10,1,FALSE,8686,7.9,9,0,FALSE,0,8686,105156037
0,0,0,0,0,1,1,FALSE,8685,10,0,0,FALSE,0,8685,0
0,0,0,0,0,1,1,FALSE,8680,11,0,0,FALSE,0,8680,0
9.055107998,0.209630326,0.110434906,0,18,5,1,FALSE,8679,8.6,4,0,FALSE,0,8679,36259648
6.643782837,0.93582064,0.15051666,0,17,11,1,FALSE,8678,9.272727273,10,0,FALSE,0,8678,171880020
6.229071804,0.686766289,0.160537562,0.022727273,17,12,2,FALSE,8677,52.5,10,0,FALSE,0,8677,137265982
0,0,0,0,0,1,1,FALSE,8676,6,0,0,FALSE,0,8676,0
0,0,0,0,0,1,1,FALSE,8675,11,0,0,FALSE,0,8675,0
0,0,0,0,0,1,1,FALSE,8674,11,0,0,FALSE,0,8674,0
0,0,0,0,0,1,1,FALSE,8673,10,0,0,FALSE,0,8673,0
0,0,0,0,0,1,1,FALSE,8672,12,0,0,FALSE,0,8672,0
0,0,0,0,0,1,1,FALSE,8671,12,0,0,FALSE,0,8671,0
0,0,0,0,0,1,1,FALSE,8670,12,0,0,FALSE,0,8670,0
0,0,0,0,0,1,1,FALSE,8669,12,0,0,FALSE,0,8669,0
0,0,0,0,0,1,1,FALSE,8668,12,0,0,FALSE,0,8668,0
0,0,0,0,0,1,1,FALSE,8667,12,0,0,FALSE,0,8667,0
6.73076474,5.798379322,0.148571528,0.009090909,15,11,1,FALSE,8666,11.63636364,10,0,FALSE,0,8666,942715733
6.074956217,0.355208178,0.16461024,0,16,12,2,FALSE,8665,15.5,10,0,FALSE,0,8665,66248928
0,0,0,0,0,1,1,FALSE,8664,11,0,0,FALSE,0,8664,0
0,0,0,0,0,1,1,FALSE,8663,11,0,0,FALSE,0,8663,0
6.308231173,0.553701637,0.158523043,0,16,11,1,FALSE,8662,17.81818182,10,0,FALSE,0,8662,89529154
7.286398132,0.219085895,0.13724202,0,18,3,2,FALSE,8661,12.66666667,1,0,FALSE,0,8661,38979792
0,0,0,0,0,1,1,FALSE,8660,10,0,0,FALSE,0,8660,0
0,0,0,0,0,1,1,FALSE,8659,10,0,0,FALSE,0,8659,0
0,0,0,0,0,1,1,FALSE,8654,11,0,0,FALSE,0,8654,0
1,0.182554579,1,0,1,2,1,FALSE,8653,7,1,0,FALSE,0,8653,31980159
6.377232925,1.578356689,0.156807821,0,16,11,1,FALSE,8652,10.90909091,10,0,FALSE,0,8652,264525896
6.431640397,1.320594421,0.15548133,0,16,11,1,FALSE,8651,9.090909091,10,0,FALSE,0,8651,223251401
6.268534734,0.734905499,0.159526914,0.009090909,17,11,1,FALSE,8650,13.18181818,10,0,FALSE,0,8650,116995616
6.639462931,0.929263319,0.150614592,0.018181818,17,11,1,FALSE,8649,9.545454545,10,0,FALSE,0,8649,159307063
6.732165791,1.239992788,0.148540608,0,17,11,1,FALSE,8648,9.636363636,10,0,FALSE,0,8648,206858333
0,0,0,0,0,1,1,FALSE,8647,11,0,0,FALSE,0,8647,0
7.238528897,0.289997846,0.138149618,0,18,11,1,FALSE,8658,10.36363636,10,0,FALSE,0,8658,48875771
0,0,0,0,0,1,1,FALSE,8657,11,0,0,FALSE,0,8657,0
7.860712201,0,0.127214936,0.5,19,2,1,FALSE,8656,14,1,0,FALSE,0,8656,0
6.385405721,0.513246847,0.15660712,0,15,11,1,FALSE,8655,10.45454545,10,0,FALSE,0,8655,84972561
6.531231757,0.966764558,0.153110476,0,17,11,1,FALSE,8646,11.81818182,10,0,FALSE,0,8646,154345356
6.672037361,1.334941577,0.149879257,0,18,11,1,FALSE,8643,7.545454545,10,0,FALSE,0,8643,237512801
6.474138938,1.598709261,0.154460695,0.007575758,18,12,2,FALSE,8642,16.91666667,10,0,FALSE,0,8642,283584753
7.192177466,0.113055797,0.139039951,0,18,2,1,FALSE,8645,12.5,1,0,FALSE,0,8645,17105215
9.18400467,0.008379373,0.108884962,0,19,2,1,FALSE,8644,10,1,0,FALSE,0,8644,1076982
6.798015178,1.376333476,0.14710176,0.009090909,18,11,1,FALSE,8684,8.636363636,10,0,FALSE,0,8684,238154251
0,0,0,0,0,1,1,FALSE,8683,5,0,0,FALSE,0,8683,0
0,0,0,0,0,1,1,FALSE,8636,11,0,0,FALSE,0,8636,0
1,1.91E-04,1,0,1,2,1,FALSE,8632,8.5,1,0,FALSE,0,8632,14900
7.466549912,0.2986831,0.133930666,0.015151515,18,12,2,FALSE,8631,8.666666667,10,0,FALSE,0,8631,52557615
6.369527145,0.989659544,0.156997525,0,16,11,1,FALSE,8629,9.272727273,10,0,FALSE,0,8629,175278618
0,0,0,0,0,1,1,FALSE,8628,11,0,0,FALSE,0,8628,0
0,0,0,0,0,1,1,FALSE,8630,2,0,0,FALSE,0,8630,0
0,0,0,0,0,1,1,FALSE,8627,12,0,0,FALSE,0,8627,0
0,0,0,0,0,1,1,FALSE,8626,12,0,0,FALSE,0,8626,0
1,0.192327985,1,0,1,2,1,FALSE,8625,6.5,1,0,FALSE,0,8625,35752033
0,0,0,0,0,1,1,FALSE,8635,11,0,0,FALSE,0,8635,0
0,0,0,0,0,1,1,FALSE,8634,11,0,0,FALSE,0,8634,0
0,0,0,0,0,1,1,FALSE,8633,11,0,0,FALSE,0,8633,0
0,0,0,0,0,1,1,FALSE,8624,11,0,0,FALSE,0,8624,0
0,0,0,0,0,1,1,FALSE,8622,11,0,0,FALSE,0,8622,0
6.281260946,0.68584783,0.159203703,0,16,12,2,FALSE,8618,9.333333333,10,0,FALSE,0,8618,117194918
6.823467601,1.468186498,0.146553052,0,18,11,1,FALSE,8617,7.454545455,10,0,FALSE,0,8617,267943406
6.504962055,0.739513627,0.153728798,0,17,11,1,FALSE,8616,11,10,0,FALSE,0,8616,133829329
0,0,0,0,0,1,1,FALSE,8621,11,0,0,FALSE,0,8621,0
0,0,0,0,0,1,1,FALSE,8620,11,0,0,FALSE,0,8620,0
0,0,0,0,0,1,1,FALSE,8619,11,0,0,FALSE,0,8619,0
0,0,0,0,0,1,1,FALSE,8615,12,0,0,FALSE,0,8615,0
7.301109165,1.624287857,0.136965491,0,17,11,1,FALSE,8610,7.727272727,10,0,FALSE,0,8610,289119478
0,0,0,0,0,1,1,FALSE,8609,11,0,0,FALSE,0,8609,0
0,0,0,0,0,2,2,FALSE,8606,10.5,0,0,FALSE,0,8606,0
6.78178634,0.361167644,0.147453775,0.018181818,15,11,1,FALSE,8605,11,10,0,FALSE,0,8605,65237681
0,0,0,0,0,1,1,FALSE,8604,6,0,0,FALSE,0,8604,0
0,0,0,0,0,1,1,FALSE,8603,11,0,0,FALSE,0,8603,0
6.28219498,0.859326949,0.159180032,0,16,11,1,FALSE,8602,9.545454545,10,0,FALSE,0,8602,145560872
0,0,0,0,0,1,1,FALSE,8608,6,0,0,FALSE,0,8608,0
0,0,0,0,0,1,1,FALSE,8607,6,0,0,FALSE,0,8607,0
0,0,0,0,0,1,1,FALSE,8601,11,0,0,FALSE,0,8601,0
0,0,0,0,0,2,2,FALSE,8600,11,0,0,FALSE,0,8600,0
6.45242265,0.391378854,0.154980548,0,17,10,1,FALSE,8599,8.4,9,0,FALSE,0,8599,71533686
0,0,0,0,0,1,1,FALSE,8594,11,0,0,FALSE,0,8594,0
0,0,0,0,0,2,2,FALSE,8593,11,0,0,FALSE,0,8593,0
0,0,0,0,0,1,1,FALSE,8598,11,0,0,FALSE,0,8598,0
6.140338587,0.678575747,0.162857469,0,16,11,1,FALSE,8597,10.63636364,10,0,FALSE,0,8597,123889016
6.937536486,0.104085866,0.144143386,0,17,6,1,FALSE,8596,12.5,5,0,FALSE,0,8596,17497877
6.533099825,0.783844554,0.153066695,0,17,6,1,FALSE,8595,10.16666667,5,0,FALSE,0,8595,141521860
0,0,0,0,0,1,1,FALSE,8592,11,0,0,FALSE,0,8592,0
0,0,0,0,0,2,2,FALSE,8591,11,0,0,FALSE,0,8591,0
7.099124343,0.661027834,0.140862443,0,17,10,2,FALSE,8590,11.9,8,0,FALSE,0,8590,115466900
6.266666667,4.436224892,0.159574468,0,16,10,1,FALSE,8589,11,9,0,FALSE,0,8589,758132071
6.653590193,2.068155857,0.150294799,0,15,10,2,FALSE,8641,12.2,8,0,FALSE,0,8641,346652657
6.612726211,1.30914523,0.15122356,0,15,11,2,FALSE,8583,15.45454545,9,0,FALSE,0,8583,233707267
0,0,0,0,0,1,1,FALSE,8582,11,0,0,FALSE,0,8582,0
1,0.384655971,1,0,1,3,1,FALSE,8587,4,2,0,FALSE,0,8587,72960058
6.252072388,0.290606551,0.159946964,0.036363636,16,11,1,FALSE,8586,11.72727273,10,0,FALSE,0,8586,51986802
6.957968476,0.9159095,0.143720111,0,17,10,1,FALSE,8585,7.7,9,0,FALSE,0,8585,173072332
0,0,0,0,0,2,2,FALSE,8581,10,0,0,FALSE,0,8581,0
0,0,0,0,0,2,2,FALSE,8580,10,0,0,FALSE,0,8580,0
7.408873322,1.406784073,0.134973289,0,18,11,1,FALSE,8579,9.636363636,10,0,FALSE,0,8579,243300537
0,0,0,0,0,2,2,FALSE,8584,6.5,0,0,FALSE,0,8584,0
0,0,0,0,0,1,1,FALSE,8573,10,0,0,FALSE,0,8573,0
7.022533567,0.490581486,0.14239875,0,18,6,1,FALSE,8577,7.5,5,0,FALSE,0,8577,91990136
0,0,0,0,0,1,1,FALSE,8576,11,0,0,FALSE,0,8576,0
0,0,0,0,0,1,1,FALSE,8575,11,0,0,FALSE,0,8575,0
6.642381786,0.39957973,0.150548408,0,16,11,1,FALSE,8574,10.27272727,10,0,FALSE,0,8574,66920691
0,0,0,0,0,1,1,FALSE,8571,6,0,0,FALSE,0,8571,0
6.739988325,0.315658507,0.14836821,0,17,11,1,FALSE,8570,8.818181818,10,0,FALSE,0,8570,55012059
0,0,0,0,0,1,1,FALSE,8569,10,0,0,FALSE,0,8569,0
7.150729714,0.337108029,0.139845867,0.011111111,17,10,1,FALSE,8568,8.4,9,0,FALSE,0,8568,57057886
0,0,0,0,0,1,1,FALSE,8572,11,0,0,FALSE,0,8572,0
6.16800934,0.256524674,0.162126862,0.054545455,17,11,1,FALSE,8564,58.45454545,10,0,FALSE,0,8564,47769426
1,3.77E-04,1,0,1,2,1,FALSE,8563,8.5,1,0,FALSE,0,8563,39089
0,0,0,0,0,1,1,FALSE,8562,12,0,0,FALSE,0,8562,0
0,0,0,0,0,1,1,FALSE,8560,11,0,0,FALSE,0,8560,0
0,0,0,0,0,2,2,FALSE,8559,11,0,0,FALSE,0,8559,0
8.201634559,0.029692104,0.121926915,0,19,11,1,FALSE,8558,17,10,0,FALSE,0,8558,3977454
0,0,0,0,0,1,1,FALSE,8557,11,0,0,FALSE,0,8557,0
6.451488616,6.806220352,0.155002986,0.009090909,15,11,1,FALSE,8556,8.272727273,10,0,FALSE,0,8556,1110416431
6.157151197,0.42954303,0.162412773,0,17,12,2,FALSE,8555,47.25,10,0,FALSE,0,8555,79703264
0,0,0,0,0,1,1,FALSE,8554,11,0,0,FALSE,0,8554,0
0,0,0,0,0,1,1,FALSE,8553,11,0,0,FALSE,0,8553,0
0,0,0,0,0,1,1,FALSE,8552,12,0,0,FALSE,0,8552,0
0,0,0,0,0,1,1,FALSE,8551,12,0,0,FALSE,0,8551,0
0,0,0,0,0,1,1,FALSE,8550,11,0,0,FALSE,0,8550,0
7.148628138,0.941715346,0.13988698,0,17,10,1,FALSE,8549,5.3,9,0,FALSE,0,8549,161497515
5.895388208,8.032239542,0.169624114,0,15,11,1,FALSE,8548,9.727272727,10,0,FALSE,0,8548,1369936795
0,0,0,0,0,2,2,FALSE,8546,11.5,0,0,FALSE,0,8546,0
6.674255692,2.282899688,0.149829441,0,18,11,1,FALSE,8545,9.727272727,10,0,FALSE,0,8545,383162158
0,0,0,0,0,1,1,FALSE,8544,11,0,0,FALSE,0,8544,0
7.277641565,0.290812686,0.137407152,0,18,11,1,FALSE,8543,7.909090909,10,0,FALSE,0,8543,56007552
6.857910099,1.327625768,0.145817018,0.009090909,15,11,1,FALSE,8542,14.18181818,10,0,FALSE,0,8542,223543076
6.030939872,1.726878523,0.165811635,0,17,12,2,FALSE,8541,13.33333333,10,0,FALSE,0,8541,282173872
0,0,0,0,0,1,1,FALSE,8540,12,0,0,FALSE,0,8540,0
6.366024518,3.341765587,0.157083906,0,16,11,1,FALSE,8539,10.45454545,10,0,FALSE,0,8539,589811496
0,0,0,0,0,2,2,FALSE,8538,12,0,0,FALSE,0,8538,0
6.80525394,0.665854965,0.146945288,0,18,11,1,FALSE,8536,7.181818182,10,0,FALSE,0,8536,114655991
0,0,0,0,0,2,2,FALSE,8535,11,0,0,FALSE,0,8535,0
7.794395797,1.285094194,0.128297308,0,19,5,2,FALSE,8534,7.8,3,0,FALSE,0,8534,214741472
0,0,0,0,0,1,1,FALSE,8533,11,0,0,FALSE,0,8533,0
6.716987741,0.590514929,0.148876258,0,16,11,1,FALSE,8532,7.909090909,10,0,FALSE,0,8532,101405030
6.923292469,0.537708462,0.144439947,0,17,11,1,FALSE,8531,8.545454545,10,0,FALSE,0,8531,104727686
1,0.195248906,1,0,1,11,1,FALSE,8525,7.181818182,10,0,FALSE,0,8525,34395183
0,0,0,0,0,1,1,FALSE,8524,11,0,0,FALSE,0,8524,0
6.789959136,1.276698242,0.147276291,0,18,12,2,FALSE,8527,7.333333333,10,0,FALSE,0,8527,250842212
7.233041448,0.746035321,0.138254427,0,18,11,1,FALSE,8526,7.090909091,10,0,FALSE,0,8526,126173824
7.275539988,0.058990245,0.137446843,0,18,2,1,FALSE,8530,12,1,0,FALSE,0,8530,12369666
6.149912434,2.211937266,0.162603941,0,16,11,2,FALSE,8529,10.18181818,9,0,FALSE,0,8529,382462173
